2024-06-13 21:38:08.151 | INFO  | restartedMain | o.a.c.h.Http11NioProtocol >>>>> Starting ProtocolHandler ["http-nio-9191"]
2024-06-13 21:38:08.163 | INFO  | restartedMain | o.s.b.w.e.t.TomcatWebServer >>>>> Tomcat started on port 9191 (http) with context path ''
2024-06-13 21:38:08.171 | INFO  | restartedMain | c.e.m.MemberApplication >>>>> Started MemberApplication in 1.558 seconds (process running for 2.213)
2024-06-13 21:38:08.627 | INFO  | RMI TCP Connection(1)-192.168.31.173 | o.a.c.c.C.[.[.[/] >>>>> Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-06-13 21:38:08.627 | INFO  | RMI TCP Connection(1)-192.168.31.173 | o.s.w.s.DispatcherServlet >>>>> Initializing Servlet 'dispatcherServlet'
2024-06-13 21:38:08.628 | INFO  | RMI TCP Connection(1)-192.168.31.173 | o.s.w.s.DispatcherServlet >>>>> Completed initialization in 1 ms
2024-06-13 21:38:08.661 | INFO  | RMI TCP Connection(2)-192.168.31.173 | c.a.d.p.DruidDataSource >>>>> {dataSource-1} inited
2024-06-13 21:38:23.175 | INFO  | SpringApplicationShutdownHook | c.a.d.p.DruidDataSource >>>>> {dataSource-1} closing ...
2024-06-13 21:38:23.177 | INFO  | SpringApplicationShutdownHook | c.a.d.p.DruidDataSource >>>>> {dataSource-1} closed
2024-06-13 21:38:25.422 | INFO  | restartedMain | c.e.m.MemberApplication >>>>> Starting MemberApplication using Java 17.0.9 with PID 15920 (D:\GithubProjects\SpringCloud\E-Commerce-Center\member-service-provider-10000\target\classes started by 30218 in D:\GithubProjects\SpringCloud)
2024-06-13 21:38:25.427 | INFO  | restartedMain | c.e.m.MemberApplication >>>>> No active profile set, falling back to 1 default profile: "default"
2024-06-13 21:38:25.450 | INFO  | restartedMain | o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor >>>>> Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-06-13 21:38:25.450 | INFO  | restartedMain | o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor >>>>> For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-06-13 21:38:26.165 | INFO  | restartedMain | o.s.b.w.e.t.TomcatWebServer >>>>> Tomcat initialized with port 9191 (http)
2024-06-13 21:38:26.171 | INFO  | restartedMain | o.a.c.h.Http11NioProtocol >>>>> Initializing ProtocolHandler ["http-nio-9191"]
2024-06-13 21:38:26.172 | INFO  | restartedMain | o.a.c.c.StandardService >>>>> Starting service [Tomcat]
2024-06-13 21:38:26.172 | INFO  | restartedMain | o.a.c.c.StandardEngine >>>>> Starting Servlet engine: [Apache Tomcat/10.1.16]
2024-06-13 21:38:26.203 | INFO  | restartedMain | o.a.c.c.C.[.[.[/] >>>>> Initializing Spring embedded WebApplicationContext
2024-06-13 21:38:26.203 | INFO  | restartedMain | o.s.b.w.s.c.ServletWebServerApplicationContext >>>>> Root WebApplicationContext: initialization completed in 753 ms
2024-06-13 21:38:26.786 | INFO  | restartedMain | o.s.b.d.a.OptionalLiveReloadServer >>>>> LiveReload server is running on port 35729
2024-06-13 21:38:26.788 | INFO  | restartedMain | o.s.b.a.e.w.EndpointLinksResolver >>>>> Exposing 1 endpoint(s) beneath base path '/actuator'
2024-06-13 21:38:26.815 | INFO  | restartedMain | o.a.c.h.Http11NioProtocol >>>>> Starting ProtocolHandler ["http-nio-9191"]
2024-06-13 21:38:26.828 | INFO  | restartedMain | o.s.b.w.e.t.TomcatWebServer >>>>> Tomcat started on port 9191 (http) with context path ''
2024-06-13 21:38:26.837 | INFO  | restartedMain | c.e.m.MemberApplication >>>>> Started MemberApplication in 1.616 seconds (process running for 2.193)
2024-06-13 21:38:27.289 | INFO  | RMI TCP Connection(2)-192.168.31.173 | o.a.c.c.C.[.[.[/] >>>>> Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-06-13 21:38:27.289 | INFO  | RMI TCP Connection(2)-192.168.31.173 | o.s.w.s.DispatcherServlet >>>>> Initializing Servlet 'dispatcherServlet'
2024-06-13 21:38:27.291 | INFO  | RMI TCP Connection(2)-192.168.31.173 | o.s.w.s.DispatcherServlet >>>>> Completed initialization in 2 ms
2024-06-13 21:38:27.328 | INFO  | RMI TCP Connection(1)-192.168.31.173 | c.a.d.p.DruidDataSource >>>>> {dataSource-1} inited
2024-06-13 21:38:27.958 | INFO  | http-nio-9191-exec-5 | o.s.a.AbstractOpenApiResource >>>>> Init duration for springdoc-openapi is: 104 ms
2024-06-13 21:43:06.185 | INFO  | SpringApplicationShutdownHook | c.a.d.p.DruidDataSource >>>>> {dataSource-1} closing ...
2024-06-13 21:43:06.188 | INFO  | SpringApplicationShutdownHook | c.a.d.p.DruidDataSource >>>>> {dataSource-1} closed
2024-06-13 21:43:08.444 | INFO  | restartedMain | c.e.m.MemberApplication >>>>> Starting MemberApplication using Java 17.0.9 with PID 5112 (D:\GithubProjects\SpringCloud\E-Commerce-Center\member-service-provider-10000\target\classes started by 30218 in D:\GithubProjects\SpringCloud)
2024-06-13 21:43:08.449 | INFO  | restartedMain | c.e.m.MemberApplication >>>>> No active profile set, falling back to 1 default profile: "default"
2024-06-13 21:43:08.468 | INFO  | restartedMain | o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor >>>>> Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-06-13 21:43:08.468 | INFO  | restartedMain | o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor >>>>> For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-06-13 21:43:09.160 | INFO  | restartedMain | o.s.b.w.e.t.TomcatWebServer >>>>> Tomcat initialized with port 9191 (http)
2024-06-13 21:43:09.165 | INFO  | restartedMain | o.a.c.h.Http11NioProtocol >>>>> Initializing ProtocolHandler ["http-nio-9191"]
2024-06-13 21:43:09.166 | INFO  | restartedMain | o.a.c.c.StandardService >>>>> Starting service [Tomcat]
2024-06-13 21:43:09.166 | INFO  | restartedMain | o.a.c.c.StandardEngine >>>>> Starting Servlet engine: [Apache Tomcat/10.1.16]
2024-06-13 21:43:09.193 | INFO  | restartedMain | o.a.c.c.C.[.[.[/] >>>>> Initializing Spring embedded WebApplicationContext
2024-06-13 21:43:09.193 | INFO  | restartedMain | o.s.b.w.s.c.ServletWebServerApplicationContext >>>>> Root WebApplicationContext: initialization completed in 724 ms
2024-06-13 21:43:09.738 | INFO  | restartedMain | o.s.b.d.a.OptionalLiveReloadServer >>>>> LiveReload server is running on port 35729
2024-06-13 21:43:09.740 | INFO  | restartedMain | o.s.b.a.e.w.EndpointLinksResolver >>>>> Exposing 1 endpoint(s) beneath base path '/actuator'
2024-06-13 21:43:09.766 | INFO  | restartedMain | o.a.c.h.Http11NioProtocol >>>>> Starting ProtocolHandler ["http-nio-9191"]
2024-06-13 21:43:09.777 | INFO  | restartedMain | o.s.b.w.e.t.TomcatWebServer >>>>> Tomcat started on port 9191 (http) with context path ''
